epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.050752,0.089419,0.937010,0.968000,0,0,3120,4068,00:13
1,0.051702,0.088268,0.938876,0.968160,0,0,64,6704,00:13
2,0.051631,0.090844,0.933410,0.967360,0,0,-64,6700,00:13
3,0.051779,0.089235,0.936610,0.967680,0,0,64,6704,00:13
4,0.051810,0.090881,0.935276,0.966400,0,0,-64,6700,00:13
5,0.052457,0.089665,0.936876,0.967680,0,0,64,6704,00:13
6,0.053396,0.090209,0.937409,0.967360,0,0,-64,6700,00:13
7,0.052758,0.089141,0.936076,0.967680,0,0,64,6704,00:13
