epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.138582,0.194609,0.860876,0.933920,0,0,128,2468,00:09
1,0.140462,0.180266,0.866438,0.935840,0,0,0,2008,00:09
2,0.131757,0.157302,0.876324,0.938720,0,0,0,2008,00:09
3,0.121489,0.142757,0.885695,0.942240,0,0,0,2008,00:09
4,0.112881,0.134790,0.890362,0.945600,0,0,0,2008,00:09
5,0.102370,0.125507,0.897676,0.950560,0,0,0,2008,00:09
6,0.096053,0.115186,0.907848,0.955360,0,0,0,2008,00:09
7,0.092378,0.110114,0.913314,0.956160,0,0,0,2008,00:09
8,0.084661,0.107249,0.915752,0.957920,0,0,0,2008,00:09
9,0.082653,0.104188,0.919524,0.959040,0,0,0,2008,00:09
10,0.075592,0.104438,0.919771,0.960960,0,0,0,2008,00:09
11,0.072907,0.102292,0.922133,0.961120,0,0,0,2008,00:09
12,0.068965,0.101273,0.923695,0.959840,0,0,0,2008,00:09
13,0.068329,0.099042,0.925352,0.961920,0,0,0,2008,00:08
14,0.066738,0.098057,0.928762,0.961280,0,0,0,2008,00:09
15,0.063645,0.098628,0.927314,0.963520,0,0,0,2008,00:09
16,0.061891,0.099428,0.925791,0.963520,0,0,0,2008,00:09
17,0.060103,0.099712,0.923219,0.963200,0,0,0,2008,00:08
18,0.060114,0.098397,0.926724,0.963520,0,0,0,2008,00:09
19,0.062074,0.098963,0.924648,0.963680,0,0,0,2008,00:09
20,0.060593,0.096956,0.925790,0.964160,0,0,0,2008,00:09
