epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.179323,0.221160,0.829867,0.915520,0,0,128,9954,00:12
1,0.155167,0.175002,0.859657,0.924160,0,0,0,7690,00:10
2,0.137700,0.141656,0.891619,0.938720,0,0,0,7690,00:10
3,0.119719,0.131378,0.896019,0.943840,0,0,0,7690,00:10
4,0.105626,0.115791,0.912991,0.955200,0,0,0,7690,00:11
5,0.092542,0.104918,0.919238,0.958240,0,0,0,7690,00:11
6,0.085108,0.104297,0.919714,0.959520,0,0,0,7690,00:10
7,0.076450,0.114485,0.917219,0.955680,0,0,0,7690,00:11
8,0.073476,0.102746,0.923810,0.959360,0,0,0,7690,00:11
9,0.068233,0.096396,0.928533,0.961280,0,0,0,7690,00:11
10,0.065043,0.100405,0.929162,0.959840,0,0,0,7690,00:11
11,0.062404,0.097046,0.933086,0.962080,0,0,0,7690,00:10
12,0.061520,0.098323,0.928629,0.960640,0,0,0,7690,00:11
13,0.060268,0.098165,0.929352,0.960800,0,0,0,7690,00:11
14,0.059001,0.096315,0.931086,0.962080,0,0,0,7690,00:11
