epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.080585,0.185493,0.874152,0.937440,0,0,1780,1484,00:07
1,0.100755,0.408783,0.821371,0.921920,0,0,48,3118,00:06
2,0.108919,0.236007,0.872933,0.942880,0,0,0,3106,00:07
3,0.107602,0.243137,0.844571,0.925440,0,0,0,3106,00:06
4,0.099067,0.155016,0.888305,0.940960,0,0,0,3106,00:06
5,0.087254,0.152213,0.896076,0.949440,0,0,0,3106,00:06
6,0.075324,0.150564,0.904286,0.955520,0,0,0,3106,00:06
7,0.063727,0.148385,0.903867,0.952800,0,0,0,3106,00:06
8,0.052275,0.128235,0.915200,0.958240,0,0,0,3106,00:06
9,0.042596,0.122655,0.920933,0.960320,0,0,0,3106,00:06
