epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.615451,0.425360,0.629168,0.845920,0,0,54,5702,00:07
1,0.439232,0.291270,0.713257,0.872320,0,0,0,5452,00:05
2,0.340552,0.233626,0.801295,0.897120,0,0,0,5452,00:06
3,0.276418,0.230561,0.813295,0.900160,0,0,0,5452,00:05
4,0.232611,0.148230,0.890605,0.938400,0,0,0,5452,00:05
5,0.199764,0.159100,0.876381,0.937920,0,0,0,5452,00:05
6,0.174753,0.134236,0.900076,0.948000,0,0,0,5452,00:05
7,0.153676,0.121497,0.901371,0.952480,0,0,0,5452,00:05
8,0.135687,0.131631,0.902571,0.948320,0,0,0,5452,00:05
9,0.122942,0.160366,0.883829,0.941120,0,0,0,5452,00:05
10,0.110604,0.123848,0.913772,0.954400,0,0,0,5452,00:05
11,0.099299,0.124842,0.916038,0.951040,0,0,0,5452,00:06
12,0.090435,0.117208,0.922781,0.954720,0,0,0,5452,00:06
13,0.083852,0.117224,0.921181,0.954400,0,0,0,5452,00:06
14,0.078887,0.117356,0.921981,0.954720,0,0,0,5452,00:06
