epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.056631,0.129458,0.907238,0.951520,0,0,3054,2816,00:07
1,0.061131,0.173159,0.885733,0.946240,0,0,50,5780,00:07
2,0.071550,0.214376,0.887105,0.945280,0,0,0,5830,00:07
3,0.082671,0.306919,0.856609,0.935680,0,0,0,5830,00:07
4,0.087999,0.130114,0.915581,0.957440,0,0,0,5830,00:07
5,0.085099,0.110825,0.922305,0.960320,0,0,0,5830,00:07
6,0.076811,0.160978,0.902667,0.957120,0,0,0,5830,00:07
7,0.071137,0.133150,0.909010,0.953600,0,0,0,5830,00:07
8,0.063933,0.097115,0.936705,0.969280,0,0,0,5830,00:07
9,0.055835,0.110919,0.926933,0.960800,0,0,0,5830,00:07
10,0.048143,0.104833,0.933676,0.964640,0,0,0,5830,00:07
11,0.040510,0.085328,0.939467,0.972320,0,0,0,5830,00:08
12,0.033548,0.091913,0.941200,0.970880,0,0,0,5830,00:07
13,0.027822,0.091673,0.938800,0.971040,0,0,0,5830,00:07
14,0.024323,0.092043,0.939333,0.970880,0,0,0,5830,00:07
