epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.034355,0.072174,0.949905,0.974240,0,0,3124,10970,00:23
1,0.034444,0.067500,0.951638,0.975200,0,0,0,10344,00:18
2,0.030242,0.083233,0.945867,0.974080,0,0,0,10344,00:18
3,0.027217,0.093423,0.940438,0.971520,0,0,0,10344,00:18
4,0.024311,0.059291,0.961905,0.979680,0,0,0,10344,00:19
5,0.020997,0.075046,0.950171,0.974240,0,0,0,10344,00:18
6,0.017968,0.089544,0.946876,0.976160,0,0,0,10344,00:19
7,0.016140,0.083602,0.948000,0.976160,0,0,0,10344,00:19
8,0.013372,0.073149,0.951733,0.978240,0,0,0,10344,00:19
9,0.011109,0.073223,0.956533,0.980320,0,0,0,10344,00:18
10,0.009308,0.072760,0.958533,0.979520,0,0,0,10344,00:18
