epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.625274,0.412488,0.683900,0.829760,7,21,116,4130,00:06
1,0.453057,0.258922,0.781200,0.894080,0,0,0,4152,00:06
2,0.352041,0.203045,0.825162,0.914880,0,0,0,4152,00:07
3,0.286395,0.180511,0.862495,0.924000,0,0,0,4152,00:06
4,0.237294,0.167443,0.882286,0.936160,0,0,0,4152,00:06
5,0.199867,0.161947,0.869505,0.937760,0,0,0,4152,00:06
6,0.171934,0.141293,0.890114,0.944960,0,0,0,4152,00:06
7,0.150703,0.153199,0.889028,0.942240,0,0,0,4152,00:06
8,0.132194,0.140957,0.896305,0.948960,0,0,0,4152,00:06
9,0.118581,0.137288,0.897129,0.948320,0,0,0,4152,00:06
10,0.103760,0.142769,0.890267,0.949440,0,0,0,4152,00:06
11,0.092270,0.140230,0.900343,0.951360,0,0,0,4152,00:06
12,0.084028,0.136346,0.900381,0.951200,0,0,0,4152,00:06
13,0.077851,0.136930,0.901810,0.951680,0,0,0,4152,00:06
14,0.072392,0.136883,0.900838,0.951840,0,0,0,4152,00:06
