epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.120551,0.730545,0.744933,0.893120,0,0,1106,3130,00:06
1,0.140765,1.126404,0.761867,0.908640,0,0,-10,3604,00:06
2,0.146306,0.238137,0.848133,0.934880,0,0,0,3600,00:06
3,0.144768,0.187122,0.875981,0.939520,0,0,0,3600,00:06
4,0.141255,0.187975,0.880552,0.943200,0,0,0,3600,00:06
5,0.136021,0.230566,0.852957,0.927200,0,0,0,3600,00:06
6,0.127039,0.207923,0.856552,0.928640,0,0,0,3600,00:06
7,0.116575,0.154937,0.885105,0.940480,0,0,0,3600,00:06
8,0.103280,0.175777,0.871791,0.938400,0,0,0,3600,00:06
9,0.093446,0.128606,0.901505,0.954560,0,0,0,3600,00:06
10,0.083901,0.120947,0.912343,0.957760,0,0,0,3600,00:06
11,0.074673,0.113782,0.916248,0.958560,0,0,0,3600,00:06
12,0.066154,0.107009,0.922229,0.961120,0,0,0,3600,00:06
13,0.058023,0.101232,0.928591,0.963200,0,0,0,3600,00:06
14,0.051432,0.101170,0.926400,0.963520,0,0,0,3600,00:06
