epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.039522,0.081960,0.941238,0.968640,0,0,64,2634,00:09
1,0.032973,0.085068,0.940152,0.970880,0,0,0,2656,00:09
2,0.031931,0.100659,0.932400,0.968160,0,0,0,2634,00:09
3,0.036630,0.165123,0.901276,0.952000,0,0,0,2656,00:09
4,0.047882,0.156573,0.899719,0.951840,0,0,0,2634,00:09
5,0.050015,0.136812,0.905086,0.952480,0,0,0,2656,00:09
6,0.051841,0.094197,0.934438,0.968160,0,0,0,2634,00:09
7,0.054738,0.182542,0.893943,0.951520,0,0,0,2656,00:09
8,0.051028,0.136442,0.905543,0.954560,0,0,0,2634,00:09
9,0.047483,0.105644,0.928800,0.966240,0,0,0,2656,00:09
10,0.043436,0.110024,0.925581,0.964480,0,0,0,2634,00:09
11,0.038916,0.120064,0.923333,0.962400,0,0,0,2656,00:09
