epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.136030,0.186403,0.863219,0.928160,0,0,2286,1560,00:05
1,0.136305,0.209132,0.848419,0.927040,0,0,24,3834,00:05
2,0.141409,0.211558,0.863600,0.936960,0,0,24,3852,00:06
3,0.147059,0.269079,0.840838,0.924320,0,0,0,3886,00:06
4,0.148114,0.245815,0.827333,0.919680,0,0,0,3886,00:05
5,0.148196,0.185082,0.875905,0.933600,0,0,0,3886,00:05
6,0.144581,0.197231,0.849143,0.925600,0,0,0,3886,00:05
7,0.134738,0.144112,0.885581,0.941440,0,0,0,3886,00:05
8,0.129044,0.152234,0.880571,0.940160,0,0,0,3886,00:05
9,0.119937,0.148250,0.892971,0.944000,0,0,0,3886,00:05
10,0.107738,0.130452,0.900781,0.949760,0,0,0,3886,00:05
11,0.095041,0.128532,0.907029,0.955360,0,0,0,3886,00:05
12,0.085130,0.130490,0.901714,0.954720,0,0,0,3886,00:05
13,0.076115,0.124071,0.912648,0.956160,0,0,0,3886,00:05
14,0.069327,0.124162,0.912648,0.956000,0,0,0,3886,00:05
