epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.074852,0.802457,0.500000,0.800000,0,0,24,5486,00:06
1,0.075689,0.750677,0.500000,0.766667,0,0,0,5486,00:06
2,0.071278,0.705993,0.638889,0.766667,0,0,0,5486,00:06
3,0.067522,0.652773,0.638889,0.800000,0,0,0,5486,00:06
4,0.064477,0.626285,0.638889,0.800000,0,0,0,5486,00:05
5,0.060552,0.623189,0.638889,0.800000,0,0,0,5486,00:06
6,0.056493,0.625266,0.638889,0.800000,0,0,0,5486,00:05
7,0.055525,0.609040,0.638889,0.800000,0,0,0,5486,00:06
8,0.053637,0.618396,0.638889,0.800000,0,0,0,5486,00:06
