epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.614431,0.470803,0.667943,0.795200,0,0,144,11726,00:08
1,0.450057,0.242737,0.776152,0.899360,0,0,0,6502,00:07
2,0.346167,0.223863,0.833352,0.918080,0,0,0,6502,00:07
3,0.281169,0.167176,0.870629,0.932000,0,0,0,6502,00:07
4,0.235491,0.156601,0.877924,0.937760,0,0,0,6502,00:07
5,0.203252,0.164872,0.871067,0.935200,0,0,0,6502,00:06
6,0.180781,0.165191,0.887467,0.940800,0,0,0,6502,00:06
7,0.157374,0.139925,0.893714,0.945280,0,0,0,6502,00:06
8,0.139893,0.144667,0.891638,0.945760,0,0,0,6502,00:07
9,0.124433,0.121412,0.910324,0.953760,0,0,0,6502,00:07
10,0.113025,0.145280,0.893486,0.946240,0,0,0,6502,00:07
11,0.102107,0.129319,0.904781,0.952000,0,0,0,6502,00:07
12,0.092866,0.126831,0.899143,0.954080,0,0,0,6502,00:07
13,0.087074,0.118686,0.913200,0.955200,0,0,0,6502,00:07
14,0.080191,0.111619,0.917943,0.956000,0,0,0,6502,00:07
15,0.073001,0.126549,0.906933,0.953760,0,0,0,6502,00:07
16,0.068791,0.110608,0.920457,0.959040,0,0,0,6502,00:07
17,0.064002,0.108865,0.919352,0.956320,0,0,0,6502,00:07
18,0.059499,0.109081,0.920781,0.956640,0,0,0,6502,00:07
19,0.058978,0.109216,0.919676,0.956320,0,0,0,6502,00:07
