epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.123683,0.174855,0.873962,0.934080,0,0,3318,6304,00:13
1,0.120104,0.173313,0.870191,0.934880,0,0,0,9610,00:13
2,0.113170,0.163493,0.888552,0.936000,0,0,0,9610,00:13
3,0.104173,0.168193,0.886971,0.943360,0,0,0,9610,00:13
4,0.096625,0.173015,0.878438,0.943680,0,0,0,9610,00:13
5,0.092457,0.160147,0.892057,0.945120,0,0,0,9610,00:13
6,0.081873,0.168162,0.892610,0.948960,0,0,0,9610,00:13
7,0.076426,0.166203,0.888171,0.948000,0,0,0,9610,00:13
8,0.067763,0.206952,0.871600,0.940000,0,0,0,9610,00:13
9,0.059432,0.195475,0.898400,0.955040,0,0,0,9610,00:13
10,0.054337,0.155892,0.904210,0.953280,0,0,0,9610,00:13
11,0.048178,0.145042,0.914248,0.959840,0,0,0,9610,00:13
12,0.041822,0.150162,0.915771,0.957920,0,0,0,9610,00:13
13,0.035171,0.146570,0.908267,0.958400,0,0,0,9610,00:13
14,0.031580,0.141767,0.917638,0.961760,0,0,0,9610,00:13
15,0.027561,0.143182,0.924172,0.962080,0,0,0,9610,00:13
16,0.024236,0.160312,0.914933,0.961120,0,0,0,9610,00:13
17,0.020438,0.141591,0.919638,0.964000,0,0,0,9610,00:13
18,0.017753,0.140179,0.923867,0.963520,0,0,0,9610,00:13
19,0.014800,0.138985,0.918667,0.966560,0,0,0,9610,00:13
20,0.012155,0.151148,0.922667,0.965440,0,0,0,9610,00:13
21,0.010569,0.149030,0.922838,0.964960,0,0,0,9610,00:13
