epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.688799,0.539123,0.595071,0.745280,0,0,160,11650,00:08
1,0.574179,0.350520,0.731092,0.860480,0,0,0,4266,00:06
2,0.462344,0.297332,0.756229,0.874880,0,0,0,4266,00:05
3,0.389787,0.257681,0.795986,0.886720,0,0,0,4266,00:05
4,0.337039,0.219627,0.828438,0.906080,0,0,0,4266,00:05
5,0.297168,0.200115,0.842552,0.913920,0,0,0,4266,00:05
6,0.263788,0.205251,0.848591,0.914560,0,0,0,4266,00:05
7,0.237113,0.186507,0.857910,0.923040,0,0,0,4266,00:05
8,0.214116,0.179079,0.866171,0.925280,0,0,0,4266,00:05
9,0.195673,0.173452,0.865676,0.927360,0,0,0,4266,00:05
10,0.181497,0.168845,0.867695,0.932000,0,0,0,4266,00:05
11,0.168032,0.155129,0.884305,0.940160,0,0,0,4266,00:05
12,0.156647,0.153559,0.883357,0.939040,0,0,0,4266,00:05
13,0.145570,0.161325,0.874648,0.936000,0,0,0,4266,00:06
14,0.134961,0.160773,0.885486,0.940320,0,0,0,4266,00:06
15,0.127913,0.151910,0.885714,0.942240,0,0,0,4266,00:06
16,0.120917,0.147498,0.890133,0.944640,0,0,0,4266,00:05
17,0.114235,0.162865,0.883581,0.941920,0,0,0,4266,00:05
18,0.108498,0.147461,0.894419,0.948960,0,0,0,4266,00:05
19,0.103277,0.151977,0.893429,0.945440,0,0,0,4266,00:05
20,0.097347,0.149167,0.892133,0.945760,0,0,0,4266,00:05
21,0.092411,0.149971,0.896286,0.945280,0,0,0,4266,00:05
22,0.089172,0.149207,0.893219,0.946400,0,0,0,4266,00:06
23,0.088957,0.149537,0.893867,0.946720,0,0,0,4266,00:06
24,0.086655,0.151393,0.893467,0.946240,0,0,0,4266,00:06
