epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.143538,0.147768,0.895752,0.948960,0,0,0,9954,00:12
1,0.132067,0.120970,0.908705,0.954720,0,0,0,7628,00:11
2,0.118650,0.106452,0.922933,0.958560,0,0,0,7628,00:11
3,0.105384,0.099367,0.927829,0.960640,0,0,0,7628,00:11
4,0.091801,0.099286,0.926019,0.962880,0,0,0,7628,00:10
5,0.080925,0.109322,0.921867,0.959360,0,0,0,7628,00:11
6,0.073323,0.098652,0.929429,0.964320,0,0,0,7628,00:10
7,0.067383,0.105836,0.926914,0.962400,0,0,0,7628,00:11
8,0.062567,0.094078,0.932838,0.965120,0,0,0,7628,00:11
9,0.057005,0.095616,0.933314,0.965440,0,0,0,7628,00:11
10,0.056515,0.088905,0.936476,0.968160,0,0,0,7628,00:11
11,0.055105,0.090109,0.934743,0.967360,0,0,0,7628,00:11
12,0.057048,0.095133,0.934686,0.965440,0,0,0,7628,00:11
13,0.054829,0.089852,0.936343,0.968800,0,0,0,7628,00:11
14,0.053829,0.090776,0.934209,0.967840,0,0,0,7628,00:11
