epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.112567,0.279841,0.830533,0.921120,0,0,4976,2058,00:08
1,0.125209,0.389496,0.762514,0.888640,0,0,48,4490,00:08
2,0.137457,0.811947,0.728610,0.884160,0,0,0,4550,00:08
3,0.151616,0.326182,0.817733,0.917760,0,0,0,4550,00:08
4,0.149450,0.268191,0.808152,0.916000,0,0,0,4550,00:08
5,0.141554,0.186630,0.864172,0.933760,0,0,0,4550,00:08
6,0.136575,0.176703,0.870590,0.937920,0,0,0,4550,00:09
7,0.127642,0.173304,0.879848,0.934080,0,0,0,4550,00:08
8,0.117639,0.185498,0.868914,0.927680,0,0,0,4550,00:09
9,0.104717,0.150696,0.896838,0.948800,0,0,0,4550,00:09
10,0.093991,0.125779,0.913314,0.954720,0,0,0,4550,00:08
11,0.084194,0.115673,0.916933,0.961120,0,0,0,4550,00:09
12,0.074145,0.129848,0.910667,0.956160,0,0,0,4550,00:08
13,0.065597,0.114766,0.916476,0.959840,0,0,0,4550,00:08
14,0.057318,0.114006,0.920038,0.961280,0,0,0,4550,00:09
