epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.680472,0.515267,0.629189,0.771040,0,0,80,9574,00:10
1,0.545421,0.343282,0.671562,0.847040,0,0,0,9610,00:10
2,0.454232,0.327852,0.716386,0.861280,0,0,0,9610,00:10
3,0.395184,0.295293,0.741657,0.872000,0,0,0,9610,00:10
4,0.357610,0.281936,0.764991,0.881440,0,0,0,9610,00:10
5,0.326679,0.261607,0.788914,0.886560,0,0,0,9610,00:10
6,0.301826,0.258573,0.796562,0.893600,0,0,0,9610,00:10
7,0.280470,0.233662,0.819371,0.904800,0,0,0,9610,00:10
8,0.260428,0.232327,0.825105,0.902400,0,0,0,9610,00:10
9,0.241525,0.216104,0.821029,0.911680,0,0,0,9610,00:10
10,0.224617,0.209575,0.846624,0.914400,0,0,0,9610,00:10
11,0.211482,0.207167,0.841714,0.914720,0,0,0,9610,00:10
12,0.198198,0.197021,0.846514,0.922560,0,0,0,9610,00:10
13,0.185716,0.193712,0.852005,0.923040,0,0,0,9610,00:10
14,0.176962,0.204106,0.853714,0.916000,0,0,0,9610,00:10
15,0.168991,0.188528,0.860648,0.924160,0,0,0,9610,00:10
16,0.163112,0.184582,0.862895,0.925920,0,0,0,9610,00:10
17,0.156104,0.183733,0.862324,0.925920,0,0,0,9610,00:11
18,0.150379,0.181357,0.872324,0.928480,0,0,0,9610,00:10
19,0.144265,0.179936,0.863067,0.928800,0,0,0,9610,00:10
20,0.138236,0.176700,0.873314,0.929120,0,0,0,9610,00:10
21,0.133120,0.175990,0.869886,0.930560,0,0,0,9610,00:10
22,0.128459,0.176970,0.870000,0.929760,0,0,0,9610,00:10
23,0.126199,0.175709,0.871048,0.930880,0,0,0,9610,00:10
24,0.124797,0.175066,0.869448,0.930880,0,0,0,9610,00:10
