epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.084653,0.145106,0.896743,0.946880,0,0,1108,3380,00:06
1,0.085605,0.165259,0.883943,0.944640,0,0,0,3552,00:07
2,0.090968,0.179326,0.881981,0.942240,0,0,0,3552,00:06
3,0.096141,0.151408,0.889219,0.946400,0,0,0,3552,00:05
4,0.100091,0.158097,0.890114,0.943680,0,0,0,3552,00:05
5,0.098056,0.154098,0.894024,0.948000,0,0,0,3552,00:06
6,0.094109,0.156798,0.891238,0.946080,0,0,0,3552,00:06
7,0.091924,0.155483,0.890629,0.945600,0,0,0,3552,00:06
8,0.089835,0.152209,0.892457,0.946560,0,0,0,3552,00:06
9,0.089288,0.151117,0.894095,0.948480,0,0,0,3552,00:06
