epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.046201,0.092183,0.932952,0.967520,0,0,252,13594,00:20
1,0.043702,0.090506,0.933809,0.968640,0,0,0,11856,00:16
2,0.043536,0.087687,0.935181,0.968320,0,0,0,11856,00:16
3,0.043659,0.096237,0.934914,0.966560,0,0,0,11856,00:16
4,0.044288,0.096125,0.930343,0.966560,0,0,0,11856,00:17
5,0.041786,0.089461,0.934743,0.970240,0,0,0,11856,00:16
6,0.041795,0.093758,0.931714,0.967520,0,0,0,11856,00:17
7,0.039445,0.088766,0.938152,0.968640,0,0,0,11856,00:17
8,0.039225,0.087233,0.940210,0.970560,0,0,0,11856,00:17
9,0.038330,0.093004,0.935771,0.969120,0,0,0,11856,00:17
10,0.035128,0.095791,0.932610,0.969120,0,0,0,11856,00:16
11,0.036354,0.092518,0.936476,0.968480,0,0,0,11856,00:17
12,0.036439,0.090902,0.936114,0.969920,0,0,0,11856,00:17
13,0.037427,0.088660,0.937943,0.970720,0,0,0,11856,00:16
14,0.038082,0.091656,0.935181,0.969600,0,0,0,11856,00:17
