epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.670939,0.468814,0.652390,0.795840,0,0,34,2050,00:05
1,0.506707,0.300631,0.740133,0.873760,0,0,24,1602,00:06
2,0.412486,0.243288,0.791371,0.896320,0,0,42,1592,00:06
3,0.347715,0.233641,0.810381,0.898400,0,0,0,1602,00:06
4,0.300480,0.214487,0.830705,0.908640,0,0,0,1602,00:06
5,0.266804,0.202688,0.839467,0.914080,0,0,0,1602,00:05
6,0.240008,0.186566,0.856591,0.920960,0,0,0,1602,00:05
7,0.217282,0.184390,0.856190,0.924480,0,0,0,1602,00:05
8,0.200608,0.171113,0.860857,0.931040,0,0,0,1602,00:05
9,0.184210,0.171862,0.865924,0.930720,0,0,0,1602,00:05
10,0.173340,0.157916,0.877867,0.932000,0,0,0,1602,00:05
11,0.162898,0.157496,0.878462,0.932320,0,0,0,1602,00:05
12,0.154752,0.152647,0.880305,0.933920,0,0,0,1602,00:06
13,0.147420,0.153040,0.878457,0.934240,0,0,0,1602,00:06
14,0.142043,0.152296,0.880781,0.934560,0,0,0,1602,00:06
