epoch,train_loss,valid_loss,fbeta,accuracy_thresh,cpu used,peak,gpu used,peak,time
0,0.058912,0.098347,0.923676,0.961440,0,0,1248,942,00:09
1,0.056170,0.100004,0.927886,0.964800,0,0,64,2096,00:09
2,0.053437,0.123093,0.914343,0.957280,0,0,0,2160,00:09
3,0.050412,0.096112,0.931314,0.964320,0,0,0,2160,00:09
4,0.054776,0.154209,0.894152,0.949440,0,0,0,2160,00:09
5,0.056063,0.140585,0.910533,0.952160,0,0,0,2160,00:09
6,0.058893,0.130428,0.910476,0.954080,0,0,0,2160,00:09
7,0.053785,0.106586,0.917372,0.961600,0,0,0,2160,00:09
8,0.051033,0.115216,0.929009,0.960960,0,0,0,2160,00:09
9,0.049101,0.122391,0.916972,0.959360,0,0,0,2160,00:09
10,0.045580,0.101585,0.930419,0.965760,0,0,0,2160,00:09
11,0.036941,0.097447,0.931067,0.967840,0,0,0,2160,00:09
12,0.038936,0.186550,0.888971,0.950720,0,0,0,2160,00:09
13,0.031600,0.093497,0.937714,0.971200,0,0,0,2160,00:09
14,0.027284,0.108319,0.933676,0.967200,0,0,0,2160,00:09
15,0.026156,0.123663,0.924705,0.963200,0,0,0,2160,00:09
16,0.020727,0.109865,0.928038,0.962880,0,0,0,2160,00:09
17,0.015526,0.106772,0.935467,0.968800,0,0,0,2160,00:09
18,0.011728,0.136033,0.931733,0.969120,0,0,0,2160,00:09
19,0.010302,0.112957,0.939067,0.969600,0,0,0,2160,00:09
20,0.008350,0.104607,0.942133,0.972640,0,0,0,2160,00:09
21,0.006922,0.105957,0.940400,0.974240,0,0,0,2160,00:09
22,0.005574,0.109538,0.941467,0.974400,0,0,0,2160,00:09
23,0.004827,0.109334,0.941333,0.975200,0,0,0,2160,00:09
24,0.004862,0.110027,0.941733,0.974720,0,0,0,2160,00:09
